time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,pv,wind
81,42.75202669,17.65762781,19.04327734,4.411974773,46.03084325,21.17935528,24.60826932,31.05856411,15.37796984,2.777677122,0,0.232934099
82,39.10413037,16.33126795,18.14931672,4.424614972,37.62370274,19.82251933,22.56556768,26.49439822,13.97165859,3.56326651,0,0.226228241
83,41.53235809,17.64713803,16.26461859,3.922848158,35.6161832,25.7683945,23.13156643,33.09347408,15.02566989,3.022941962,0,0.216709351
84,38.36414386,16.55969837,18.48088447,3.521917042,47.42985846,20.40259775,23.81950879,26.82299996,15.22944225,3.195148078,0,0.179146924
85,46.13010851,13.2966721,17.89372445,4.243431902,35.23509776,20.79680558,20.24080108,26.03723985,11.16754529,3.593127353,0,0.197837405
86,50.3983545,14.30767553,16.56930806,3.849054291,41.34682341,16.77868959,24.46574892,24.69348071,13.68748314,3.368765717,0,0.241061196
87,42.34122601,13.65199476,18.15071199,3.655772832,41.04819054,22.70931639,19.41197774,29.05501846,12.30686335,3.249552976,0,0.159593301
88,40.97743756,16.32647687,16.800808,3.423558723,42.98112924,20.74201532,19.0330769,24.01137781,10.74373215,3.416598569,0,0.19688824
89,41.96731261,9.509893844,16.10595459,3.384856106,35.93593692,20.78284388,17.8517966,20.66825242,9.559112644,2.983146137,0,0.21609445
90,41.61666857,10.83611295,16.92092072,3.743232496,39.53581499,26.82134189,17.81947147,22.09479861,11.80611569,3.300456972,0,0.215044674
91,36.74909366,9.924061338,15.39505989,3.204700751,38.50516065,18.85920036,19.29391872,23.27026007,10.53309218,3.731485771,0,0.268433907
92,39.37668709,9.76412237,14.32333101,3.895289188,45.58891298,24.31777521,12.59173037,19.70469418,12.15649347,3.429788785,0,0.16068952
93,36.40441815,9.020789121,17.39538083,3.431536071,37.71061642,19.02729174,14.62821522,17.24580734,9.317848434,4.059269184,0,0.193090823
94,36.61725829,9.657419582,13.47237737,4.022432528,32.89084144,22.46876286,15.42992774,15.86727493,9.849385447,3.586909378,0,0.157196399
95,35.44967769,7.696405629,15.24817001,3.712789971,32.40025146,17.8017326,13.51308464,14.89694953,7.722855341,3.758526028,0,0.228759304
96,31.7338062,9.399685112,14.67543351,3.001740454,35.39756139,23.86069127,14.03514776,18.37341058,10.03055459,3.270579575,0,0.209447643
97,28.0782692,9.02487657,23.47401939,3.829075191,35.05135492,18.09905709,15.8435816,15.76527646,17.42453859,19.25237654,0,0.231923653
98,29.86556854,7.507936169,24.91301959,3.078316215,30.6599641,15.58330639,16.4032807,17.20815868,14.13027887,17.78265216,0,0.188546181
99,36.86847809,9.992410169,21.80213681,3.260183323,29.02628967,17.3189673,13.41622781,12.42271222,14.39418787,17.51309465,0,0.202504094
100,28.81173598,7.722787175,23.7182386,3.545513513,28.10494539,18.72909506,15.38439802,15.92181523,18.49889725,16.50081446,0,0.183055693
101,30.61420523,6.943526837,23.50923253,4.021079045,27.31777462,12.62739178,12.7852749,13.41546773,17.01771658,19.83813967,0,0.156070501
102,29.83210925,7.970992831,25.45583699,3.775192002,24.71044346,14.93894823,15.44462382,14.71844798,15.37998366,16.17444138,0,0.20472306
103,25.32345651,6.600928609,24.46887062,3.089896706,27.65601654,16.76559305,10.66999907,11.88669547,14.32907718,18.53896862,0,0.225641015
104,30.84063054,7.833700001,20.86648356,4.087442891,26.61984574,17.08263187,13.80647868,11.47263476,15.40663418,16.14317599,0,0.166275639
105,22.4573172,7.302711236,17.24975785,3.636482502,31.95041714,14.57605714,11.70177394,10.95247773,16.2198716,18.70263727,0,0.121463609
106,26.00738603,6.039594399,20.70107741,3.876922898,33.78786717,12.96271643,11.10779534,11.30013883,16.74226149,17.16414077,0,0.168791661
107,23.28767432,7.331060888,22.31283286,3.358768291,27.76808366,12.78729766,14.04321622,12.96082373,13.7618894,21.27231177,0,0.114946242
108,26.25090561,6.99797094,21.66782874,3.206483662,28.91611862,14.8325109,13.59419457,11.57253988,18.11824263,18.68811334,0,0.223600514
109,24.0346641,6.063515666,19.87971001,3.24741841,26.58349337,14.28167628,12.96880597,10.71998138,15.80092066,20.7033097,0,0.224732532
110,20.73217511,6.015494837,19.9686643,3.989030013,32.36127418,16.57883301,14.54321532,11.22694652,19.40745248,17.33826374,0,0.155043073
111,26.91915973,6.43262436,22.09778069,2.867898011,25.31450532,14.70344424,12.72779522,10.45445998,17.76803612,20.41093943,0,0.214174963
112,26.98338685,6.576659019,24.09073617,3.606381166,33.34403644,14.1183689,10.47928753,11.20439301,16.85863507,22.28482919,0,0.221172014
113,24.95033595,5.440951889,22.80073031,3.377625316,30.61175871,13.28021141,11.82609307,11.88021902,15.34544973,15.54557877,0,0.225899832
114,23.14468211,6.118569018,16.75598093,3.424766534,23.26509531,12.80758876,10.63964362,10.07527988,14.97496296,18.73307171,0,0.30253822
115,19.40370773,5.858124824,19.65113391,3.380009741,27.17399864,12.31404126,12.24497522,9.831783761,12.87100249,19.47980342,0,0.151263627
116,21.84963544,5.433283159,19.14317083,3.485948836,27.58110618,14.37534311,11.74431387,11.6277469,14.02335227,17.28910926,0,0.158663843
117,25.59957104,5.589234058,19.3857133,3.500148152,30.25510938,12.70311749,12.38045358,10.88766878,16.71144892,22.92949127,0,0.193334399
118,25.17242344,5.871959127,24.27576677,3.17216164,32.30800954,13.26772289,12.65298905,11.64377779,17.25224693,18.66262256,0,0.194568862
119,24.74621531,5.721639604,22.09493175,3.095967372,28.54926971,13.36793834,13.63189625,12.9051362,15.31059478,22.46445989,0,0.183732518
120,25.22207032,6.889870216,21.37215081,2.908379207,27.09896995,11.8022439,11.08420619,11.59612901,14.51537322,17.07798595,0,0.156503393
121,27.36905062,9.53961449,21.19986893,3.556325649,21.84365638,11.52483541,12.40564633,9.632156371,15.94540968,18.44141107,0,0.174542176
122,26.86682623,10.90634006,17.37945517,4.519343272,27.68794096,12.13022343,10.32277982,9.130777997,16.57937557,17.8797259,0,0.214809797
123,20.51408339,11.32324031,20.8239702,3.805242666,32.78369953,10.04130839,12.84884602,10.19906098,13.10433431,14.36625533,0,0.224565915
124,24.52086594,9.72018642,20.14738874,3.352659826,27.31659148,13.59068244,12.75435246,11.65593626,16.49879857,17.38254491,0,0.161813734
125,18.95654584,12.55621444,20.7581103,12.20672123,30.01063255,11.72658514,12.42736689,10.7317376,17.55841785,18.36837297,0.02304211,0.135142122
126,28.53242486,11.52470005,19.42292635,13.80274062,29.42109713,12.31382347,13.44787406,10.53443728,17.39221311,19.33370866,0.024296439,0.22218479
127,27.51740694,11.04044566,22.50020988,13.2423959,23.98731493,9.132350379,15.99000451,11.71717997,17.43647257,16.19135503,0.020786355,0.144999572
128,26.76127977,10.34088988,20.41353987,13.48291387,27.6664454,12.13432867,11.50811061,11.89538271,16.84089214,19.35043889,0.02049787,0.142778812
129,30.68490865,8.696174895,25.15000825,23.51051282,31.21990484,9.432727857,13.85086388,19.44766846,24.06714128,23.1530984,0.196383233,0.159941249
130,31.96792163,11.25701288,25.95204349,27.61063034,30.18008774,10.35488375,12.0921234,16.64764832,26.6256803,22.43365018,0.204592447,0.157951482
131,28.73459575,8.099105572,24.61333218,22.63167157,30.63073821,10.82992692,12.26320214,15.89830855,25.37112975,21.73448144,0.156119706,0.134148299
132,32.79831513,8.981095643,24.60772138,22.4197983,28.93814055,9.1922259,14.58119962,16.19325861,27.56321273,22.56350295,0.136678671,0.142093417
133,32.10146274,6.850706377,36.935493,30.98274574,27.21211849,12.2821975,16.48609506,13.93509935,33.09544756,25.56953892,0.283122785,0.126005172
134,28.11009422,8.334836479,36.99240736,37.44850295,31.43053145,11.67203939,17.27100003,17.68092555,28.11941398,23.10501969,0.34240978,0.15215174
135,36.36894692,7.034106131,29.56749945,36.76094774,30.56848471,11.56417815,17.83635812,16.749259,34.67622527,24.5942104,0.223281114,0.17798143
136,38.741665,7.4015187,29.54216515,40.09500942,29.1648109,9.927662051,13.64300067,17.97299859,30.91064856,26.95682566,0.416607609,0.145740576
137,35.03158784,7.373614593,39.32545214,35.9745996,27.54024699,12.90657545,17.05429312,17.61141731,27.8944418,20.76441454,0.49119754,0.226790129
138,24.25414496,7.517010507,33.65987687,33.66570494,32.63172168,11.78760611,16.73252662,16.72970496,30.50816499,26.35885063,0.470529953,0.112236465
