time;load_user1;load_user2;load_user3;load_user4;load_user5;load_user6;load_user7;load_user8;load_user9;load_user10;std_load_user1;std_load_user2;std_load_user3;std_load_user4;std_load_user5;std_load_user6;std_load_user7;std_load_user8;std_load_user9;std_load_user10;pv;std_pv;wind;std_wind
54;30.21148036;8.16292876;17.31527605;19.25741272;35.44224111;13.11685289;19.34850863;16.32383966;16.94303916;4.809736395;3.066208794;2.349672145;5.194582814;5.777223816;4.177103332;2.750349105;3.616200164;3.278998813;5.082911748;1.442920918;0.519109555;0.202925319;0.186566667;0.251007444
55;30.21148036;8.16292876;17.31527605;19.25741272;35.44224111;13.11685289;19.34850863;16.32383966;16.94303916;4.809736395;3.066208794;2.349672145;5.194582814;5.777223816;4.177103332;2.750349105;3.616200164;3.278998813;5.082911748;1.442920918;0.48008206;0.202925319;0.186566667;0.251007444
56;30.21148036;8.16292876;17.31527605;19.25741272;35.44224111;13.11685289;19.34850863;16.32383966;16.94303916;4.809736395;3.066208794;2.349672145;5.194582814;5.777223816;4.177103332;2.750349105;3.616200164;3.278998813;5.082911748;1.442920918;0.458227753;0.202925319;0.186566667;0.251007444
57;31.78079893;8.058487247;17.3671648;27.81336681;33.90777463;12.30796089;17.00680272;16.35021097;16.3621885;4.953231293;2.608596438;1.977817418;5.21014944;8.344010043;4.134909716;2.29545351;2.508887064;3.106554134;4.908656549;1.485969388;0.451666914;0.192676982;0.186633333;0.251799247
58;31.78079893;8.058487247;17.3671648;27.81336681;33.90777463;12.30796089;17.00680272;16.35021097;16.3621885;4.953231293;2.608596438;1.977817418;5.21014944;8.344010043;4.134909716;2.29545351;2.508887064;3.106554134;4.908656549;1.485969388;0.493001967;0.192676982;0.186633333;0.251799247
59;31.78079893;8.058487247;17.3671648;27.81336681;33.90777463;12.30796089;17.00680272;16.35021097;16.3621885;4.953231293;2.608596438;1.977817418;5.21014944;8.344010043;4.134909716;2.29545351;2.508887064;3.106554134;4.908656549;1.485969388;0.46589028;0.192676982;0.186633333;0.251799247
60;31.78079893;8.058487247;17.3671648;27.81336681;33.90777463;12.30796089;17.00680272;16.35021097;16.3621885;4.953231293;2.608596438;1.977817418;5.21014944;8.344010043;4.134909716;2.29545351;2.508887064;3.106554134;4.908656549;1.485969388;0.484470403;0.192676982;0.186633333;0.251799247
61;31.94024841;7.783641161;16.42797841;29.66523195;32.70380862;12.77351024;16.36577708;15.07383966;14.48379239;4.979804422;2.732826953;2.335092348;4.928393524;8.899569584;3.726301579;2.152419881;2.067714274;3.091120121;4.345137718;1.493941327;0.317893856;0.154382999;0.172766667;0.232828438
62;31.94024841;7.783641161;16.42797841;29.66523195;32.70380862;12.77351024;16.36577708;15.07383966;14.48379239;4.979804422;2.732826953;2.335092348;4.928393524;8.899569584;3.726301579;2.152419881;2.067714274;3.091120121;4.345137718;1.493941327;0.321067977;0.154382999;0.172766667;0.232828438
63;31.94024841;7.783641161;16.42797841;29.66523195;32.70380862;12.77351024;16.36577708;15.07383966;14.48379239;4.979804422;2.732826953;2.335092348;4.928393524;8.899569584;3.726301579;2.152419881;2.067714274;3.091120121;4.345137718;1.493941327;0.294220699;0.154382999;0.172766667;0.232828438
64;31.94024841;7.783641161;16.42797841;29.66523195;32.70380862;12.77351024;16.36577708;15.07383966;14.48379239;4.979804422;2.732826953;2.335092348;4.928393524;8.899569584;3.726301579;2.152419881;2.067714274;3.091120121;4.345137718;1.493941327;0.342880551;0.154382999;0.172766667;0.232828438
