time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,load_user11,pv,wind
112,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.221172014
113,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.225899832
114,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.30253822
115,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.151263627
116,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.158663843
117,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.193334399
118,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.194568862
119,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.183732518
120,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.156503393
121,0.439366,0.509191,0.236095,0.176074,0.158207,0.260328,0.260328,0.29596,0.162885,0.179735,0.110985,0,0.174542176
122,0.439366,0.636489,0.236095,0.231097,0.212761,0.341681,0.341681,0.388447,0.219052,0.235902,0.388447,0,0.214809797
123,0.439366,0.636489,0.236095,0.231097,0.212761,0.341681,0.341681,0.388447,0.219052,0.235902,0.388447,0,0.224565915
124,0.439366,0.636489,0.236095,0.231097,0.212761,0.341681,0.341681,0.388447,0.219052,0.235902,0.388447,0,0.161813734
125,0.600971,1.909467,0.236095,0.363152,0.310959,0.536927,0.536927,0.610417,0.320153,0.370703,0.388447,0.02304211,0.135142122
126,0.681774,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.024296439,0.22218479
127,0.681774,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.020786355,0.144999572
128,0.984785,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.02049787,0.142778812
129,1.742312,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.196383233,0.159941249
130,2.121076,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.204592447,0.157951482
131,2.121076,2.545956,0.236095,0.392498,0.360058,0.63455,0.63455,0.721402,0.333259,0.400659,0.721402,0.156119706,0.134148299
132,2.121076,2.545956,0.236095,0.176074,0.212761,0.341681,0.341681,0.388447,0.162885,0.179735,0.388447,0.136678671,0.142093417
133,2.121076,2.545956,0.236095,0.176074,0.212761,0.341681,0.341681,0.326789,0.162885,0.179735,0.326789,0.283122785,0.126005172
